name,state,location,control,for_profit,religious_affiliation,degree_type,distance,historically_black,enrollment,founded_in,closed_merged_in,accreditation
Millikin University,Illinois,Decatur,Private,1,Presbyterian,Baccalaureate College,,,"2,340",1967,,
Pennsylvania College of Art and Design,Pennsylvania,Lancaster (Lancaster County),Private,0,Non-sectarian,Specialized Focus: Art,,,285,1967,,
Pittsburgh Institute of Mortuary Science,Pennsylvania,Pittsburgh (Allegheny County),Private,0,Catholic,Specialized Focus: Funerary,,,209,1967,,
Respect Graduate School,Pennsylvania,Bethlehem(Lehigh County),Private,1,Islam,Specialized Focus: Graduate studies,,,21,1967,,
Won Institute of Graduate Studies,Pennsylvania,Cheltenham Township(Montgomery County),Private,1,Won Buddhism,Specialized Focus: Graduate studies,,,87,1967,,
Dominican University,Illinois,River Forest,Private,1,Catholic,Specialized Focus: INon-sectarianormation Studies,,,"1,783",1967,,
Geisinger Commonwealth School of Medicine,Pennsylvania,Scranton(Lackawanna County),Private,0,Non-sectarian,Specialized Focus: Medicine,,,169,1967,,
Lake Erie College of Osteopathic Medicine,Pennsylvania,Erie (Erie County),Private,0,Non-sectarian,Specialized Focus: Medicine,,,"3,029",1967,,
Grambling State University - Grambling,Louisiana,,Public,0,Non-sectarian,Baccalaureate College,,,,1967,,
Curtis Institute of Music,Pennsylvania,Philadelphia,Private,0,0,Specialized Focus: Music,,,167,1967,,
Community College of Rhode Island,Rhodes Island,6 locations,Public,1,Non-sectarian,Associates College,,,14775,1967,,
College Unbound,Rhodes Island,Providence,Private,1,Secular,Baccalaureate College,,,163,1967,,
New England Institute of Technology,Rhodes Island,East Greenwich,Private,1,0,Baccalaureate College,,,2516,1967,,
Custer College,Nebraska,Broken Bow,x,x,Christian,,,,,1967,1916,
Rockefeller University,New York,New York,Private,1,Non-sectarian,Specialized Focus: Medical,,,210,1967,,
Brooklyn Law School,New York,Brooklyn,x,x,Secularism,Specilized-focus: Law,,,"1,167",1967,,
University of Portland,Oregon,Portland,Private,1,Catholic,Masters University,,,"3,911",1967,,
United States Army War College,Pennsylvania,North Middleton Township(Cumberland County),Private,1,Non-sectarian,x,,,588,1967,,
Northern State University,South Dakota,Aberdeen,Public,0,0,Baccalaureate College,,,,1967,,"HLC, NASM, NCATE"
Trevecca Nazarene University,Tennessee,Nashville,Private,1,Nazarene,Doctoral University,,,,1967,,
Roger Williams University,Rhodes Island,Bristol,Private,1,0,Masters University,,,"5,325",1967,,
Salve Regina University,Rhodes Island,Newport,Private,1,Catholic,Masters University,,,2771,1967,,
Trevecca Nazarene University,Tennessee,Nashville,Private,1,Nazarene,Doctoral University,,,,1968,,
Aiken Technical College,South Carolina,Aiken,Public,0,Non-sectarian,Associates College,,,,1968,1972[9],SACS
Central Carolina Technical College,South Carolina,Sumter[d],Public,1,Non-sectarian,Associates College,,,3550,1968,,SACS
Texas Woman's University,Texas,,Public (independent),1,0,Doctoral University,,,"14,176",1968,,
Denmark Technical College[c],South Carolina,Denmark,Public,0,Non-sectarian,Associates College,,,489,1968,,SACS
Florence–Darlington Technical College,South Carolina,Florence,Public,0,Non-sectarian,Associates College,,,4182,1968,,SACS
Forrest College,South Carolina,Anderson,Private,1,Non-sectarian,Associates College,,,,1968,,ACICS
Greenville Technical College,South Carolina,Greenville[f],Public,1,Non-sectarian,Associates College,,,10864,1968,,SACS
Horry-Georgetown Technical College,South Carolina,Conway[g],Public,0,0,Associates College,,,6788,1968,,SACS
Midlands Technical College,South Carolina,West Columbia[h],Public,0,0,Associates College,,,9892,1968,,SACS
Northeastern Technical College,South Carolina,Cheraw[j],Public,0,Non-sectarian,Associates College,,,1275,1968,,SACS
Orangeburg–Calhoun Technical College,South Carolina,Orangeburg,Public,0,Catholic,Associates College,,,2387,1968,,SACS
Piedmont Technical College,South Carolina,Greenwood[k],Public,0,Christian,Associates College,,,4491,1968,,SACS
Spartanburg Community College,South Carolina,Spartanburg[l],Public,0,Methodist,Associates College,,,4534,1968,,SACS
Sweet Briar College,Virginia,Sweet Briar,Private,1,0,Baccalaureate College,,,337,1968,,SACS
Potomac College,Virginia,Herndon,Private,1,0,Baccalaureate College,,,40,1968,,MSCHE
Tri-County Technical College,South Carolina,Pendleton[n],Public,0,0,Associates College,,,6082,1968,,SACS
Trident Technical College,South Carolina,North Charleston[o],Public,0,0,Associates College,,,12148,1968,,SACS
University of South Carolina Lancaster,South Carolina,Lancaster,Public,0,Christian,Associates College,,,1523,1968,,SACS
University of South Carolina Salkehatchie,South Carolina,Allendale,Public,0,Non-sectarian,Associates College,,,927,1968,,SACS
University of South Carolina Sumter,South Carolina,Sumter,Public,0,Non-sectarian,Associates College,,,1110,1968,,SACS
University of South Carolina Union,South Carolina,Union[p],Public,0,Methodist,Associates College,,,1093,1968,,SACS
Williamsburg Technical College,South Carolina,Kingstree,Public,0,Non-sectarian,Associates College,,,737,1968,,SACS
York Technical College,South Carolina,Rock Hill,Public,0,Non-sectarian,Associates College,,,4253,1968,,SACS
Virginia School of Nursing & Medical Institute,Virginia,Springfield,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1968,,none
Potomac State College of West Virginia University,West Virginia,Keyser,Public,0,Non-sectarian,Associates College,,,"1,781",1968,,HLC
Bob Jones University,South Carolina,Greenville,Private,0,Nondenominational,Baccalaureate College,,,3005,1968,,TRACS
Point Loma Nazarene University,California,San Diego,Private,1,Church of the Nazarene,Masters University,,,,1968,,
University of Indianapolis,Indiana,Indianapolis,Private,0,0,Masters University,,,"5,484",1968,,"HLC, MEAC, AOTA, APTA, APA, CCNE, NASAD, NASM, TCATE, NLNAC"
Fort Hays State University (FHSU),Kansas,,Public,0,Secularism,Baccalaureate College,,,,1968,,
Saint Joseph College,Maryland,Emmitsburg,x,0,Catholic,,,,,1968,1973,
University of Northwestern – St. Paul,Minnesota,Roseville,Private,0,Christian,Baccalaureate College,,,"3,100",1968,,"HLC, NASM"
AAA Colleges,New Mexico,Albuquerque,Private,1,Christian,,,,,1968,1984,
New York Theological Seminary,New York,New York,Private,1,Catholic,Seminary,,,433,1968,,
Phillips Beth Israel School of Nursing,New York,New York,Private,0,Non-sectarian,Specialized Focus: Medicine,,,323,1968,,
Plaza College,New York,Forest Hills,Private,1,Non-sectarian,,,,"1,196",1969,,
Barton College,North Carolina,Wilson,Private,1,0,Baccalaureate College,,,"1,059",1969,,
Franklin University,Ohio,Columbus,Private,0,0,Baccalaureate College,,,,1969,,
University of South Carolina Aiken,South Carolina,Aiken,Public,0,Non-sectarian,Baccalaureate College,,,3699,1969,,SACS
University of South Carolina Beaufort,South Carolina,Beaufort,Public,0,Secular,Baccalaureate College,,,2116,1969,,SACS
Oregon Law School,Oregon,Salem and Portland,x,x,Non-sectarian,Specialized Focus: Law,,,,1969,1922,
Western Connecticut State University,Connecticut,Danbury,Public,0,0,Masters University,,,"5,721",1969,,
Albany State University,Georgia,Albany,Public,0,Non-sectarian,Baccalaureate College,,1,5000,1969,,
Waldorf University,Iowa,Forest City,Private,1,Norwegian Luthern,Baccalaureate College,,,817,1969,,HLC
Pittsburg State University (PSU),Kansas,,Public,0,Non-sectarian,Baccalaureate College,,,,1969,,
Lindsey Wilson College,Kentucky,,Private,1,United Methodist,Baccalaureate College,,,,1969,,
Charleston Southern University,South Carolina,North Charleston,Private,1,Baptist,Masters University,,,3414,1969,,SACS
University of Maine at Presque Isle,Maine,Presque Isle,Public,0,Nondenominational,Baccalaureate College,,,"1,657",1969,,
Coastal Carolina University,South Carolina,Conway,Public,1,Non-sectarian,Masters University,,,10641,1969,,SACS
Western Michigan University,Michigan,Kalamazoo,Public,0,0,Doctoral University,,,"23,227",1969,,"HLC, ADA, AOTA, APA, ASHA, CCNE, CELPA, NASAD, NASD, NASM, NAST, TCATE"
Columbia International University,South Carolina,Columbia,Private,1,Interdenominational,Masters University,,,1048,1969,,SACS
Rabbi Jacob Joseph School,New Jersey,Edison and New York City,Private,1,Jewish,Seminary,,,,1969,,AARTS
Francis Marion University,South Carolina,Florence,Public,0,Non-sectarian,Masters University,,,3940,1969,,SACS
John Marshall College,New Jersey,,x,x,Christian,,,,,1969,1950,
University of South Carolina Upstate,South Carolina,Spartanburg,Public,0,Non-sectarian,Masters University,,,6175,1969,,SACS
Albuquerque Business College,New Mexico,Albuquerque (Main),Private,1,Non-sectarian,,,,,1969,1980,
Skidmore College,New York,Saratoga Springs,Private,1,Roman Catholic,Baccalaureate College,,,"2,812",1969,,
Charleston School of Law,South Carolina,Charleston,Private,1,Christian,Specialized Focus: Law,,,612,1969,,ABA
John Wesley University,North Carolina,High Point,Private,1,Christian,Seminary,,,,1969,2018,
Sherman College of Chiropractic,South Carolina,Spartanburg,Private,0,Non-sectarian,Specialized Focus: Medicine,,,422,1969,,CCE
North Dakota State College of Science,North Dakota,Wahpeton,Public,0,Non-sectarian,Associates College,,,"2,833",1969,,"Higher Learning Commission(HLC), ADA, AOTA, NLNAC"
Lake Area Technical Institute,South Dakota,Watertown,Public,1,Non-sectarian,Associates College,,,,1969,,"HLC, ADA, AOTA, APTA, NLNAC"
Mitchell Technical Institute,South Dakota,Mitchell,Public,0,Non-sectarian,Associates College,,,,1969,,"HLC, JRCERT"
National American University–Ellsworth AFB Extension,South Dakota,Ellsworth Air Force Base,Private,1,Non-sectarian,Associates College,,,,1969,,HLC
Southeast Technical Institute,South Dakota,Sioux Falls,Public,0,Non-sectarian,Associates College,,,,1969,,HLC
Western Dakota Technical Institute,South Dakota,Rapid City,Public,0,Non-sectarian,Associates College,,,,1969,,HLC
Mount Carmel College of Nursing,Ohio,Columbus,Private,0,Catholic,Specialized Focus: Medicine,,,,1969,,
Kilian Community College,South Dakota,Sioux Falls,Private,0,Non-sectarian,Associates College,,,,1969,2016,
Pennsylvania College of Health Sciences,Pennsylvania,Lancaster (Lancaster County),Private,0,0,Specialized Focus: Medicine,,,"1,143",1969,,
Freeman Junior College,South Dakota,Freeman,Private,1,Mennonite Church ,Associates College,,,,1969,1986,
Mount Marty University,South Dakota,Yankton,Private,0,0,Baccalaureate College,,,,1969,,"HLC, CCNE, AANA, NLNAC"
National American University–Sioux Falls,South Dakota,Sioux Falls,Private,1,0,Baccalaureate College,,,,1969,,HLC
University of Lynchburg,Virginia,Lynchburg,Private,1,Disciples,Masters University,,,"3,081",1969,,SACS
Lindsey Wilson College School of Professional Counseling,Virginia,Richlands,Private,1,Methodist,Specialized Focus: Medicine,,,,1969,,SACS
Milwaukee School of Engineering,Wisconsin,Milwaukee,Private,0,0,Masters University,,,"2,589",1969,,"HLC, CCNE"
Starr King School for Ministry,California,Berkeley,Private,1,Unitarian Universalist,Seminary,,,,1969,,
Bethune–Cookman University,Florida,Daytona Beach,Private,1,United Methodist Church,Baccalaureate College,,1,"3,773",1969,,
Loyola University New Orleans - New Orleans,Louisiana,,Private,0,Jesuit,Baccalaureate College,,,,1969,,
Washington Adventist University,Maryland,Takoma Park,Private,0,Seventh-day Adventist,Baccalaureate College,,,"1,069",1969,,
National American University–Rapid City,South Dakota,Rapid City,Private,1,0,Masters University,,,,1969,,"HLC, CCNE"
Rasmussen College,Minnesota,Various,Private,1,Non-sectarian,Associates College,,,,1969,,HLC
The College of New Rochelle,New York,New Rochelle,Private,1,Catholic,,,,"4,674",1969,2019,
Oglala Lakota College,South Dakota,Kyle,Public,0,Non-sectarian,Tribal college,,,,1969,,HLC
Sinte Gleska University,South Dakota,Mission,Private,0,Non-sectarian,Tribal college,,,,1969,,HLC
Sisseton Wahpeton College,South Dakota,Agency Village,Public,0,Non-sectarian,Tribal college,,,,1969,,HLC
Colorado Technical University - Sioux Falls,South Dakota,Sioux Falls,Private,1,Non-sectarian,,,,,1969,2016,
Oklahoma City University,Oklahoma,Oklahoma City,Private,1,Methodist ,Masters University,,,"2,672",1970,,
University of Western States,Oregon,Portland,Private,0,Non-sectarian,Specialized Focus: Medicine,,,405,1970,,
Saint Michael's College,Vermont,Colchester,Private,0,Catholic,Baccalaureate College,,,,1970,,
Davis & Elkins College,West Virginia,Elkins,Private,0,0,Baccalaureate College,,,818,1970,,"ACEN, NAST, HLC, TEAC"
Miles College[c],Alabama,Fairfield,"Private
",1,Christian Methodist Episcopal Church,Baccalaureate College,,,"1,456",1970,,SACS
"University of California, Davis",California,Davis,Public,0,Secular,Baccalaureate College,,,"39,152",1970,,
Loma Linda University,California,Loma Linda,Private,1,Seventh-day Adventist Church,Specialized Focus: Medicine,,,,1970,,
Morristown College,Tennessee,Morristown,Private,1,Methodist,Associates College,,,,1970,x,
Bethany Theological Seminary,Indiana,Richmond,Private,0,Church of Brethren,Seminary,,,63,1970,,"ATSCA, HLC"
Mid-America College of Funeral Service,Indiana,Jeffersonville,Private,1,Non-sectarian,Specialized Focus: Funerary,,,62,1970,,ABFSE
Marygrove College,Michigan,Detroit,Private,0,Catholic,,,,,1970,2019,
Saint Mary's College,Michigan,Orchard Lake Village,Private,0,Catholic,,,,,1970,2003,
Bryan College,Tennessee,Dayton,Private,1,None (Christian),Baccalaureate College,,,,1970,,
St. Catherine University,Minnesota,"St. Paul, Minneapolis",Private,0,Roman Catholic,Masters University,,,"5,328",1970,,"HLC, ADA, AOTA, APTA, MACTE, NLNAC"
Missouri State University,Missouri,Springfield,Public,0,0,Doctoral University,,,"24,489",1970,,
New College Franklin,Tennessee,Nashville,Private,1,Baptist,Baccalaureate College,,,,1970,,
Northwest Missouri State University,Missouri,Maryville,Public,1,0,Masters University,,,"6,687",1970,,
University of Nebraska at Kearney,Nebraska,Kearney,Public,1,Non-sectarian,,,,"7,100",1970,,
Hiwassee College,Tennessee,Madisonville,Private,1,Methodist,Baccalaureate College,,,,1970,x,
O'More College of Design,Tennessee,Franklin,Private,1,Non-sectarian,Baccalaureate College,,,,1970,x,
Scarritt College,Tennessee,Nashville,Private,1,Methodist,Baccalaureate College,,,,1970,x,
The Juilliard School,New York,New York,Private,1,Secular,Specialized Focus: Art,,,944,1970,,
Gardner-Webb University,North Carolina,Boiling Springs,Private,1,0,Doctoral University,,,"3,594",1970,,
Concordia University,Oregon,Portland,x,x,Evangelical,,,,,1970,2020,
University of Tennessee Space Institute,Tennessee,Tullahoma,Public,0,Non-sectarian,Doctoral University,,,,1970,,
Adelphia College,Washington,Seattle,Private,1,Baptist,Seminary,,,"5,391",1970,x,
National University of Medical Sciences (Naples),Florida,Rawalpindi,Private,1,Non-sectarian,Specialized Focus: Medical Science,,,,1970,,
Georgia Southwestern State University,Georgia,Americus,Public,0,Non-sectarian,Baccalaureate College,,,2200,1970,,
South Georgia State College,Georgia,Douglas,Public,0,Christian ,Baccalaureate College,,,,1971,,
Austin Peay State University,Tennessee,Clarksville,Public,0,Non-sectarian,Doctoral University,,,,1971,,
Georgia Southern University,Georgia,Statesboro,Public,0,0,Doctoral University,,,22000,1971,,
University of West Georgia,Georgia,Carrollton,Public,0,0,Doctoral University,,,10400,1971,,
Valdosta State University,Georgia,Valdosta,Public,0,0,Doctoral University,,,8400,1971,,
National University of Health Sciences,Illinois,Lombard,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1971,,
Western Kentucky University,Kentucky,,Public,0,Nondenominational,Baccalaureate College,,,,1971,,
Campbellsville University,Kentucky,,Private,1,Christian,Baccalaureate College,,,,1971,,
Louisiana College* - Pineville,Louisiana,,Private,0,Baptist,Baccalaureate College,,,,1971,,
Paul M. Hebert Law Center - Baton Rouge,Louisiana,,Public,0,Catholic,Specialized Focus: Law,,,,1971,,
College for Creative Studies,Michigan,Detroit,Private,0,Non-sectarian,Specialized Focus: Art,,,"1,472",1971,,"HLC, NASAD"
College of the Ozarks,Missouri,Point Lookout,Private,1,Presbyterian Church (USA),Baccalaureate College,,,"1,600",1971,,
Pace University-New York,New York,New York,Private,1,Non-sectarian,Baccalaureate College,,,"14,824",1971,,
SUNY College of Technology at Canton,New York,Canton,Public,0,Secularism,,,,"4,827",1971,,
Oxford Graduate School,Tennessee,Dayton,Private,1,Christian,Doctoral University,,,,1971,,
Dakota College at Bottineau,North Dakota,Bottineau,Public,0,Non-sectarian,Associates College,,,898,1971,,Higher Learning Commission (HLC)
WGU Tennessee,Tennessee,Statewide (online),Private,1,Non-sectarian,Doctoral University,,,,1971,,
Southern Wesleyan University,South Carolina,Central,Private,1,Wesleyan,Masters University,,,1551,1971,,SACS
Lambuth University,Tennessee,Jackson,Private,1,United Methodist,Doctoral University,,,,1971,x,
Tennessee Temple University,Tennessee,Chattanooga,Private,1,Christian,Doctoral University,,,,1971,x,
Abilene Christian University,Texas,,Private,1,Christian,Masters University,,,"4,427",1971,,
Missouri State University,Virginia,Fairfax,Public,0,0,Masters University,,,"23,697",1971,,HLC
Northland College,Wisconsin,Ashland,Private,0,0,Baccalaureate College,,,603,1971,,HLC
Ottawa University–Milwaukee,Wisconsin,Brookfield,Private,0,0,Baccalaureate College,,,405,1971,,HLC
University of Central Arkansas,Arkansas,Conway,Public,0,Secular,Masters University,,,"11,534",1971,,
Williamson College,Tennessee,Franklin,Private,1,None (Christian),Masters University,,,,1971,,
University of Redlands,California,Redlands,Private,1,Baptist,Masters University,,,,1971,,
California College of the Arts,California,Oakland / San Francisco,Private,1,Non-sectarian,Specialized Focus: Art,,,,1971,,
University of Hawaii at Manoa,Hawaii,Honolulu,Public,0,0,Doctoral University,,,"18,056",1971,,
Olivet Nazarene University,Illinois,Bourbonnais,Private,1,Christian,Baccalaureate College,,,"4,986",1971,,
College of Saint Teresa,Minnesota,Winona,Private,0,Roman Catholic,,,,,1971,1989,
Shelton College,New Jersey,Cape May,Private,1,Christian,,,,,1971,1971,
Memphis College of Art,Tennessee,Memphis,Private,1,Non-sectarian,Masters University,,,,1971,x,
American Baptist College,Tennessee,Nashville,Private,1,Baptist,Seminary,,,,1971,,
Emmanuel Christian Seminary,Tennessee,Johnson City,Private,1,Christian,Seminary,,,,1971,,
Harding School of Theology,Tennessee,Memphis,Private,1,Christian,Seminary,,,,1971,,
Yeshiva of Nitra Rabbinical College,New York,Mount Kisco,Private,1,Jewish,Seminary,,,268,1971,,
Mid-America Baptist Theological Seminary,Tennessee,Franklin,Private,1,Baptist,Seminary,,,,1971,,
East Carolina University,North Carolina,Greenville,Public,0,Non-sectarian,Doctoral University,,,"26,946",1971,,
Oregon College of Art,Oregon,Ashland,x,x,Non-sectarian,Specialized Focus: Art,,,,1971,1984,
Oregon College of Art,Oregon,Portland,x,x,Non-sectarian,Specialized Focus: Art,,,,1971,2019,
The Art Institute of Tennessee,Tennessee,Nashville,Private,1,Non-sectarian,Specialized Focus: Art,,,,1971,,
Heritage University,Washington,Toppenish,Private,1,0,Masters University,,,708,1972,,
Aquinas College,Tennessee,Nashville,Private,0,Catholic,Specialized Focus: Medicine,,,,1972,,
Wayland Baptist University,Alaska,Anchorage,Private,0,Baptist ,Masters University,,,"4,503",1972,,
Southern College of Optometry,Tennessee,Memphis,Private,0,Non-sectarian,Specialized Focus: Medicine,,,,1972,,
Burritt College,Tennessee,Spencer,Private,1,Christian,,,,,1972,x,
Victory University,Tennessee,Memphis,Private,1,Christian,,,,,1972,x,
American Commercial College,Texas,,Private,1,Christian,Associates College,,,,1972,2014,
Lincoln College of Technology[44],Texas,,Private,1,Non-sectarian,Associates College,,,,1972,,
MIAT College of Technology,Texas,,Private,1,Non-sectarian,Associates College,,,,1972,,
Central Western University,Texas,,Private,1,Catholic,Baccalaureate College,,,,1972,,
Virginia College,Texas,,Private,1,Catholic,Baccalaureate College,,,,1972,2018,
Westwood College,Texas,,Private,1,Non-sectarian,Baccalaureate College,,,,1972,,
Biola University,California,La Mirada,Private,1,Evangelical Christian,Doctoral University,,,,1972,,
Wilcox College of Nursing,Connecticut,Middletown,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1972,1997,
Abraham Baldwin Agricultural College,Georgia,Tifton,Public,0,Non-sectarian,Baccalaureate College,,,,1972,,
Tabor College,Kansas,Hillsboro,Private,1,Mennoite,,,,,1972,,
Southwestern Christian College,Texas,,Private,1,Chistian,Baccalaureate College,,1,,1972,,
University of Nebraska Omaha,Nebraska,Omaha,Public,1,Non-sectarian,,,,"13,824",1972,,
Pillar College,New Jersey,Zarephath (Franklin Twp. and Newark,Private,0,Christian,Baccalaureate College,,,241,1972,,MSCHE
Texas Southern University,Texas,,Public,1,0,Baccalaureate College,,1,,1972,,
Montclair State University,New Jersey,Montclair,Public,0,0,Doctoral University,,,"21,115",1972,,MSCHE
Georgian Court University,New Jersey,Lakewood,Private,1,Catholic,Masters University,,,"1,772",1972,,MSCHE
Hobart and William Smith Colleges,New York,Geneva,Private,1,Non-sectarian,Baccalaureate College,,,"2,447",1972, ,
Concordia University Texas,Texas,,Private,1,0,Baccalaureate College,,,,1972,,
Houston Baptist University,Texas,,Private,1,Baptist,Baccalaureate College,,,,1972,,
McMurry University,Texas,,Private,1,Methodist,Baccalaureate College,,,,1972,,
D'Youville College,New York,Buffalo,Private,1,Catholic,,,,"3,485",1972,,
Schreiner University,Texas,,Private,1,Presbyterian Church ,Baccalaureate College,,,,1972,,
Morrisville State College,New York,Morrisville,Public,1,Non-sectarian,,,,"3,553",1972,,
SUNY College of Technology at Alfred,New York,Alfred,Public,0,Secularism,,,,"4,172",1972,,
University of Dallas,Texas,,Private,1,Catholic,Baccalaureate College,,,,1972,,
Youngstown State University,Ohio,Youngstown,Public,0,0,Masters University,,,,1972,,
Amberton University,Texas,,Private,1,Non-denominational Christian Institute,Baccalaureate College,,,,1972,,
Arlington Baptist College,Texas,,Private,1,Baptist,Baccalaureate College,,,,1972,,
University of Science & Arts of Oklahoma,Oklahoma,Chickasha,Public,0,0,Baccalaureate College,,,852,1973,,
Bakke Graduate University,Texas,,Private,1,Non-denominational,,,,,1973,,
Bay Ridge Christian College,Texas,,Private,1,Chistian,Baccalaureate College,,1,,1973,,
Christ For The Nations Institute,Texas,,Private,1,Chistian,Baccalaureate College,,,,1973,,
College of Saint Thomas More,Texas,,Private,1,Chistian,Baccalaureate College,,,,1973,2014,
Concordia University Texas,Texas,,Private,1,Lutheran,Baccalaureate College,,,,1973,,
Criswell College,Texas,,Private,1,Baptist,Baccalaureate College,,,,1973,,
Dallas Christian College,Texas,,Private,1,Chistian,Baccalaureate College,,,,1973,,
Hallmark University,Texas,,Private,1,Non-sectarian,Baccalaureate College,,,,1973,,
Cameron University,Oklahoma,Lawton,Public,0,0,Masters University,,,"4,290",1973,,
Coker University,South Carolina,Hartsville,Private,1,0,Baccalaureate College,,,1280,1973,,SACS
Morris College[c],South Carolina,Sumter,Private,1,Baptist,Baccalaureate College,,,649,1973,,SACS
Wayland Baptist University,Texas,,Private,1,Baptist,Baccalaureate College,,,,1973,,
James Madison University,Virginia,Harrisonburg,Public,1,Episcopal ,Masters University,,,"21,787",1973,,SACS
LeTourneau University,Texas,,Private,1,Christian,Baccalaureate College,,,,1973,,
Lubbock Christian University,Texas,,Private,1,Christian,Baccalaureate College,,,,1973,,
North American University,Texas,,Private,1,Secular,Baccalaureate College,,,,1973,,
Northwood University,Texas,,Private,1,Christian,Baccalaureate College,,,,1973,,
University of Mary Washington,Virginia,Fredericksburg,Public,0,Christian,Masters University,,,"4,727",1973,,SACS
Arkansas State University,Arkansas,Jonesboro,Public,0,Nondenominational,Masters University,,,"13,552",1973,,
Arkansas Tech University,Arkansas,Russellville,Public,0,Nondenominational,Masters University,,,"11,369",1973,,
Southwestern Assemblies of God University,Texas,,Private,1,Christian,Baccalaureate College,,,,1973,,
Southwestern Christian College,Texas,,Private,1,Christian,Baccalaureate College,,,,1974,,
Southern Arkansas University,Arkansas,Magnolia,Public,0,Non-sectarian,Masters University,,,"3,404",1974,,
University of Arkansas at Monticello,Arkansas,Monticello,Public,0,Non-sectarian,Masters University,,,"3,893",1974,,
Upland College - (merged with Messiah College),California,Upland,Private,1,Christian,Baccalaureate College,,,,1974,x,
Samuel Merritt University,California,Oakland,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1974,,
VanderCook College of Music,Illinois,Chicago,Private,0,0,Specialized Focus: Music,,,,1974,,
University of St. Thomas,Texas,,Private,1,Catholic,Baccalaureate College,,,,1974,,
Hesston College,Kansas,Hesston,Private,1,Christian,,,,,1974,,
Western Governors University Texas,Texas,,Private,1,Non-sectarian,Baccalaureate College,,,,1974,,
University of Maine at Machias,Maine,Machias,Public,0,Christian,Baccalaureate College,,,"1,007",1974,,
Carroll College,Montana,Helena,Private,1,Presbyterian,Baccalaureate College,,,"1,330",1974,,
Keene State College,New Hampshire,Keene,Public,0,Christian,Masters University,,,"4,383",1974,,
University of Houston–Downtown,Texas,,Public,0,Secular,Baccalaureate College,,,"13,916",1974,,
Northern New Mexico College,New Mexico,Española (Main)El Rito,Public,0,Non-sectarian,Baccalaureate College,,,926,1974,,
North Carolina Central University,North Carolina,Durham,Public,0,0,Masters University,,,"8,604",1974,,
Rogers State University,Oklahoma,Claremore,Public,0,0,Baccalaureate College,,,"3,663",1974,,
Oklahoma Wesleyan University,Oklahoma,Bartlesville,Private,1,0,Baccalaureate College,,,"1,096",1974,,
Texas Southern University,Texas,,Public (independent),1,0,Doctoral University,,,"9,646",1974,,
East Central University,Oklahoma,Ada,Public,0,0,Masters University,,,"3,577",1974,,
Texas Tech University,Texas,,Public,0,0,Doctoral University,,,"32,327",1974,,
Lamar University,Texas,,Public,0,0,Doctoral University,,,"14,522",1974,,
Northwestern Oklahoma State University,Oklahoma,Alva,Public,0,0,Masters University,,,"1,992",1974,,
Southeastern Oklahoma State University,Oklahoma,Durant,Public,0,0,Masters University,,,"4,542",1974,,
Texas A&M International University,Texas,,Public,0,Non-sectarian,Doctoral University,,,"6,853",1974,,
Southwestern Oklahoma State University,Oklahoma,Weatherford,Public,0,0,Masters University,,,"4,542",1974,,
Pacific College of Art & Design,Oregon,Medford,x,x,Christian,Specialized Focus: Art,,,,1975,,
Texas A&M University–Corpus Christi,Texas,,Public,1,0,Doctoral University,,,"10,169",1975,,
Texas A&M University–Kingsville,Texas,,Public,0,0,Doctoral University,,,"6,737",1975,,
Pacific Northwest College of Art,Oregon,Portland,Private,1,Non-sectarian,Specialized Focus: Art,,,303,1975,,
Messiah University,Pennsylvania,Upper Allen Township(Cumberland County),Private,1,Nondenominational Christianity,x,,,"2,932",1975,,
University of Texas at Dallas,Texas,,Public,0,Catholic,Doctoral University,,,"24,533",1975,,
Columbus College,South Dakota,Chamberlain / Sioux Falls,Private,1,Christian,,,,,1975,1929,
University of Texas at San Antonio,Texas,,Public,0,Non-sectarian,Doctoral University,,,"28,628",1975,,
University of Houston,Texas,,Public,0,0,Doctoral University,,,"43,797",1975,,
University of Wisconsin–La Crosse,Wisconsin,La Crosse,Public,0,Non-sectarian,Masters University,,,"10,135",1975,,"HLC, AOTA, APTA, CEPH, JRCERT, NASM"
Bellin College,Wisconsin,Green Bay,Private,0,0,Specialized Focus: Medicine,,,329,1975,,"HLC, CCNE"
Vennard College,Iowa,University Park,Private,1,Christian,,,,,1975,2008,
Saint Paul College,Minnesota,St. Paul,Public,0,Roman Catholic Church,Associates College,,,"6,166",1975,,"HLC, NASM"
Stephen F. Austin State University,Texas,,Public (independent),1,0,Masters University,,,"12,954",1975,,
Angelo State University,Texas,,Public,0,0,Masters University,,,"7,084",1976,,
University of Southern Mississippi - Hattiesburg,Mississippi,,Public,0,0,Doctoral University,,,,1976,,
University of Southern Mississippi - Gulf Park - Long Beach,Mississippi,,Public,0,0,Doctoral University,,,,1976,,
Rockhurst University,Missouri,Kansas City,Private,1,Jesuit,Masters University,,,"3,000",1976,,
Texas A&M University–Texarkana,Texas,,Public,0,Non-sectarian,Masters University,,,"1,950",1976,,
Wayne State College,Nebraska,Wayne,Public,1,Non-sectarian,,,,"3,571",1976,,
Texas A&M University–Central Texas,Texas,,Public,0,Non-sectarian,Masters University,,,"2,173",1976,,
